road_type,curvature,speed_limit,lighting,weather,road_signs_present,public_road,holiday,school_season,num_reported_accidents,accident_risk
urban,0.65,60,daylight,rainy,False,True,True,True,1,0.54
highway,0.63,35,daylight,foggy,True,False,False,False,1,0.31
urban,0.47,35,night,clear,False,False,True,False,0,0.25
rural,0.08,45,daylight,rainy,False,False,True,True,1,0.15
highway,,25,night,rainy,True,True,True,False,0,0.45
urban,0.05,60,daylight,clear,False,True,False,True,0,0.25
rural,0.7,35,daylight,,False,True,True,False,1,0.39
rural,0.44,45,dim,rainy,False,True,True,True,0,0.29
rural,0.04,45,night,clear,False,False,False,True,1,0.26
rural,0.01,70,daylight,rainy,False,False,True,False,0,0.25
highway,0.47,45,daylight,clear,False,False,True,True,1,0.14
urban,0.71,35,night,rainy,False,True,True,True,1,0.41
rural,0.14,60,daylight,clear,True,True,False,True,1,0.19
urban,0.36,35,night,foggy,False,True,False,False,0,0.38
rural,0.7,45,night,rainy,False,True,False,False,3,0.6
highway,0.46,60,daylight,clear,True,True,False,True,1,0.27
urban,0.99,25,daylight,rainy,False,True,False,True,1,0.34
urban,0.01,70,dim,foggy,False,True,False,False,0,0.28
rural,0.55,60,dim,foggy,False,False,False,False,1,0.53
rural,0.53,60,night,foggy,False,True,True,True,0,0.63
urban,0.78,45,dim,rainy,False,True,True,True,2,0.44
rural,0.1,35,night,,True,True,True,False,1,0.25
urban,0.82,25,daylight,foggy,True,False,True,False,2,0.42
urban,0.16,45,night,clear,True,True,True,True,2,0.27
rural,0.7,45,dim,foggy,False,False,True,True,0,0.38
highway,0.66,70,night,foggy,False,False,True,True,2,0.77
urban,0.7,60,daylight,rainy,True,False,False,True,3,0.56
highway,0.18,25,night,clear,False,False,False,True,2,0.36
highway,0.14,60,dim,clear,True,True,True,False,2,0.24
urban,0.38,25,dim,foggy,True,True,True,False,1,0.27
highway,0.43,25,dim,rainy,True,True,False,True,1,0.22
highway,0.83,60,night,foggy,False,False,False,False,1,0.68
rural,0.61,35,dim,clear,True,False,True,False,2,0.13
rural,0.57,45,dim,clear,False,True,True,True,1,0.12
rural,0.29,35,dim,clear,True,False,True,False,1,0.05
rural,0.81,70,dim,foggy,True,False,False,False,2,0.53
rural,0.25,35,night,rainy,False,False,False,False,0,0.34
highway,0.53,70,night,foggy,False,True,True,False,0,0.69
urban,0.65,45,dim,rainy,True,False,False,False,2,0.31
urban,0.45,60,daylight,clear,True,True,False,False,1,0.29
rural,0.57,25,night,rainy,True,True,False,True,3,0.59
urban,0.66,70,night,clear,True,True,False,True,0,0.64
highway,0.79,70,daylight,clear,True,False,True,True,3,0.54
rural,0.17,70,night,foggy,False,True,False,False,1,0.64
highway,0.55,45,dim,foggy,False,True,True,False,1,0.26
urban,0.71,45,night,clear,False,True,True,True,3,0.49
highway,0.38,35,daylight,rainy,True,False,False,True,1,0.16
urban,0.02,45,night,clear,False,True,False,False,2,0.23
urban,0.72,70,dim,clear,True,False,True,False,2,0.46
rural,,25,night,rainy,True,True,True,True,1,0.34
urban,0.57,35,daylight,foggy,False,False,True,False,1,0.3
urban,0.15,45,daylight,foggy,True,True,False,False,2,0.21
urban,0.12,70,dim,rainy,True,True,False,False,1,0.38
urban,0.43,60,dim,clear,True,False,False,False,0,0.33
urban,0.15,35,night,clear,True,False,True,False,3,0.1
rural,0.53,70,dim,foggy,True,False,False,True,1,0.49
rural,0.75,70,daylight,clear,True,True,True,False,0,0.44
highway,0.83,70,night,foggy,False,True,False,True,4,0.8
rural,0.61,70,dim,foggy,False,True,True,True,1,0.51
urban,0.9,60,night,foggy,True,True,True,False,0,0.73
highway,0.34,45,daylight,clear,False,False,True,False,1,0.17
urban,0.39,70,dim,foggy,True,False,False,True,1,0.47
urban,0.07,45,night,rainy,False,True,False,False,1,0.39
urban,0.39,45,night,rainy,True,False,False,False,2,0.43
highway,0.07,25,dim,foggy,True,False,False,True,0,0.13
highway,0.75,45,daylight,foggy,False,True,True,False,2,0.4
rural,0.79,60,dim,foggy,False,False,False,False,0,0.56
urban,0.1,45,daylight,foggy,True,True,False,False,1,0.16
urban,0.58,45,night,clear,False,True,True,True,1,0.4
urban,0.1,60,dim,rainy,True,True,True,False,1,0.39
urban,0.44,45,daylight,rainy,True,True,True,True,2,0.21
highway,0.53,60,dim,foggy,True,False,True,True,2,0.55
rural,0.79,45,night,clear,False,False,False,True,1,0.48
urban,0.49,70,daylight,rainy,True,True,True,False,1,0.45
rural,0.22,45,night,clear,True,False,False,True,2,0.3
urban,0.65,70,daylight,foggy,True,False,False,False,1,0.5
urban,0.85,35,daylight,rainy,True,False,True,False,1,0.3
highway,0.44,70,dim,rainy,True,False,False,True,1,0.45
urban,0.81,70,dim,foggy,False,True,True,False,1,0.48
urban,0.39,45,night,clear,True,False,False,True,0,0.2
highway,0.08,45,night,foggy,False,True,False,False,2,0.37
highway,0.59,60,night,foggy,True,False,False,True,2,0.64
rural,0.53,60,night,rainy,True,True,True,False,1,0.63
highway,0.71,35,daylight,clear,False,False,True,False,0,0.17
highway,0.21,35,night,,True,True,True,False,1,0.32
rural,0.41,35,night,foggy,True,True,False,False,2,0.41
urban,0.52,25,dim,clear,False,False,False,False,2,0.23
urban,0.02,60,dim,rainy,False,True,False,False,1,0.28
urban,0.5,35,dim,foggy,False,True,True,False,1,0.27
highway,0.26,45,night,rainy,False,False,False,True,1,0.29
rural,0.81,60,dim,foggy,False,False,True,True,0,0.5
highway,0.45,60,daylight,clear,False,True,True,False,1,0.45
urban,0.63,45,daylight,foggy,False,False,False,False,2,0.25
rural,0.03,45,night,rainy,True,True,True,True,2,0.19
rural,0.31,25,daylight,clear,False,False,True,False,2,0.08
highway,,25,dim,foggy,False,False,True,True,0,0.16
highway,0.51,25,daylight,rainy,False,False,False,True,2,0.22
rural,0.73,45,dim,rainy,False,True,True,False,1,0.4
urban,0.12,35,night,foggy,False,False,True,False,1,0.33
rural,0.35,70,daylight,clear,False,True,True,True,1,0.39
highway,0.1,25,dim,foggy,True,True,True,False,0,0.04
rural,0.92,25,daylight,clear,False,False,False,False,1,0.31
urban,0.02,70,dim,foggy,False,True,False,True,1,0.35
rural,0.18,70,dim,clear,False,True,True,True,1,0.24
highway,0.47,45,night,foggy,False,False,False,True,2,0.45
rural,0.36,25,daylight,rainy,True,False,False,True,0,0.29
rural,0.06,35,dim,foggy,True,False,False,True,2,0.13
highway,0.56,60,daylight,clear,False,True,False,False,1,0.41
rural,0.28,25,dim,clear,True,True,False,False,2,0.09
urban,0.68,60,night,clear,False,False,False,False,1,0.55
urban,0.49,45,night,clear,True,False,False,False,1,0.41
highway,0.52,25,dim,clear,True,True,False,True,0,0.17
rural,0.37,60,dim,clear,False,False,False,False,1,0.41
highway,0.02,45,,rainy,False,False,True,True,2,0.35
rural,0.25,60,dim,rainy,False,False,False,True,2,0.39
urban,0.77,35,daylight,foggy,True,True,False,False,2,0.42
highway,0.95,45,daylight,foggy,True,True,True,False,0,0.52
urban,0.74,25,night,foggy,False,True,True,True,1,0.5
rural,0.29,60,dim,rainy,True,True,False,False,0,0.38
highway,0.55,60,night,clear,True,True,True,True,1,0.52
highway,0.27,45,night,rainy,False,True,False,False,0,0.39
rural,,45,dim,rainy,False,True,True,False,0,0.02
urban,0.62,25,dim,rainy,False,False,True,True,3,0.38
rural,0.98,45,dim,rainy,True,False,True,False,3,0.49
highway,0.19,60,daylight,clear,True,True,False,True,0,0.28
highway,0.56,35,night,foggy,True,True,True,False,1,0.45
rural,0.04,45,night,clear,True,False,True,False,1,0.27
rural,0.75,70,daylight,foggy,True,False,True,True,3,0.56
urban,0.95,25,daylight,foggy,True,True,True,False,1,0.34
urban,0.92,35,night,clear,False,True,True,True,0,0.52
rural,0.31,35,night,clear,False,False,False,False,1,0.29
highway,0.56,45,dim,foggy,False,False,True,False,2,0.27
rural,0.36,35,daylight,clear,False,False,True,False,1,0.09
urban,0.59,60,night,rainy,False,False,False,True,3,0.78
rural,0.21,60,dim,foggy,True,True,True,False,2,0.31
highway,0.52,25,daylight,,True,False,True,True,1,0.37
urban,0.71,35,night,rainy,False,True,True,True,1,0.5
rural,0.41,25,daylight,clear,True,True,True,True,1,0.22
highway,0.99,35,dim,clear,True,False,False,False,0,0.34
rural,0.9,70,daylight,foggy,False,True,True,True,1,0.61
urban,0.17,35,daylight,rainy,True,False,False,False,2,0.16
highway,0.58,70,dim,clear,False,True,False,False,1,0.39
rural,0.66,60,night,rainy,True,True,True,False,1,0.81
urban,0.58,70,daylight,clear,False,True,False,False,0,0.44
highway,0.27,25,night,clear,False,True,False,True,0,0.22
rural,0.51,70,dim,clear,False,False,True,True,1,0.43
rural,0.25,45,night,rainy,True,False,True,True,0,0.42
urban,0.25,25,dim,foggy,False,False,True,True,1,0.13
highway,0.78,35,daylight,rainy,False,True,False,False,2,0.38
highway,0.25,25,night,clear,False,True,False,False,0,0.2
urban,,35,night,clear,True,False,True,False,1,0.45
rural,0.52,45,daylight,rainy,False,False,False,True,2,0.33
urban,0.08,45,night,foggy,,True,False,False,2,0.32
urban,0.47,25,dim,rainy,True,True,True,True,1,0.28
urban,0.33,25,night,foggy,False,True,False,True,1,0.47
urban,0.8,45,dim,foggy,True,True,False,False,0,0.39
urban,0.59,45,dim,clear,True,True,True,False,1,0.19
highway,0.57,70,daylight,foggy,True,False,True,True,1,0.47
urban,0.49,35,dim,clear,False,False,False,False,0,0.09
highway,0.49,45,daylight,clear,True,True,False,False,0,0.13
highway,0.21,70,daylight,clear,False,True,False,False,2,0.26
urban,0.66,45,daylight,rainy,True,False,True,True,2,0.38
urban,0.09,45,dim,clear,True,True,False,True,2,0.18
urban,0.2,45,night,clear,False,False,True,True,0,0.22
urban,0.57,35,daylight,rainy,True,True,False,False,3,0.47
rural,0.66,25,dim,clear,False,True,True,False,2,0.16
rural,0.41,35,daylight,rainy,True,True,True,True,1,0.23
rural,0.77,45,night,clear,True,True,True,True,2,0.45
rural,0.85,45,dim,clear,True,True,False,True,1,0.33
highway,0.88,60,dim,rainy,False,False,False,True,3,0.69
highway,0.86,35,daylight,foggy,True,True,True,False,1,0.35
urban,0.82,45,dim,clear,False,True,False,False,2,0.21
highway,0.33,70,dim,clear,False,False,True,True,0,0.34
rural,0.87,60,dim,rainy,False,True,True,True,2,0.58
rural,0.86,60,daylight,foggy,True,False,True,False,3,0.55
rural,0.81,70,night,clear,False,False,True,True,3,0.71
highway,0.32,45,dim,rainy,False,True,False,True,1,0.18
highway,0.73,25,night,foggy,True,False,False,True,1,0.42
highway,0.79,60,night,rainy,True,True,False,True,1,0.69
rural,0.83,60,dim,clear,True,True,True,True,2,0.47
highway,0.05,25,daylight,foggy,True,False,False,True,0,0.13
highway,0.61,60,daylight,clear,True,False,True,True,1,0.39
highway,0.59,60,dim,clear,True,False,True,False,0,0.48
rural,0.43,45,dim,clear,True,True,False,False,0,0.21
urban,0.52,35,daylight,foggy,True,True,True,False,0,0.22
rural,0.52,70,daylight,foggy,False,True,False,False,1,0.49
highway,0.1,45,daylight,clear,False,True,True,False,1,0.06
rural,0.54,45,dim,clear,False,True,False,False,0,0.16
rural,0.86,45,daylight,clear,False,False,False,False,1,0.32
highway,0.26,60,daylight,rainy,True,True,False,True,0,0.39
rural,0.66,35,dim,foggy,True,False,True,True,1,0.29
urban,0.66,45,night,clear,True,False,False,False,1,0.42
urban,0.1,70,night,clear,False,True,False,True,2,0.47
rural,0.03,25,dim,rainy,False,False,False,False,1,0.13
highway,0.73,60,night,rainy,False,True,True,False,3,0.92
urban,0.57,70,night,clear,True,True,False,True,0,0.45
urban,0.96,35,dim,foggy,True,False,True,True,1,0.47
urban,0.21,70,night,rainy,False,False,False,True,0,0.47
urban,0.41,60,night,clear,False,False,True,False,2,0.36
rural,0.43,25,night,rainy,False,True,False,False,0,0.42
rural,0.13,45,dim,rainy,,True,False,True,2,0.09
rural,0.37,70,dim,foggy,True,True,False,False,1,0.34
rural,0.45,45,dim,clear,True,False,True,False,2,0.17
urban,0.11,35,night,foggy,False,False,False,True,0,0.37
highway,0.78,70,daylight,clear,True,True,True,True,1,0.44
highway,0.24,45,daylight,clear,False,False,True,False,2,0.04
urban,0.73,60,daylight,foggy,True,False,True,False,1,0.6
rural,0.69,25,night,rainy,True,False,True,False,0,0.49
highway,0.92,60,daylight,foggy,True,False,True,False,1,0.62
rural,0.45,70,daylight,foggy,False,False,True,False,1,0.39
rural,0.67,60,daylight,clear,True,True,True,False,1,0.3
urban,0.66,60,dim,rainy,False,True,True,False,1,0.47
rural,0.27,70,dim,foggy,True,False,True,True,2,0.34
urban,,25,daylight,foggy,True,True,False,True,3,0.51
rural,0.83,35,night,clear,True,False,False,False,0,0.63
urban,0.49,45,night,rainy,False,True,False,False,2,0.39
rural,0.08,35,night,rainy,False,True,False,True,2,0.41
highway,0.59,35,night,clear,True,False,True,False,3,0.48
highway,0.7,45,,clear,False,False,False,True,1,0.43
rural,0.65,45,night,clear,False,True,True,True,3,0.51
highway,0.47,70,dim,rainy,False,True,True,True,1,0.47
urban,0.8,25,daylight,foggy,False,True,False,False,0,0.41
highway,0.44,60,daylight,rainy,True,False,False,True,2,0.43
rural,0.34,70,dim,foggy,True,False,False,False,1,0.3
highway,0.18,35,dim,clear,False,False,False,True,2,0.07
highway,0.52,35,dim,foggy,True,True,False,True,2,0.34
highway,0.23,60,dim,rainy,False,True,False,False,1,0.34
urban,0.38,35,dim,foggy,True,False,True,True,2,0.19
highway,0.52,35,night,foggy,True,True,True,False,3,0.49
urban,0.25,35,night,foggy,True,True,False,False,1,0.2
rural,0.77,60,daylight,foggy,False,True,True,True,2,0.58
rural,0.22,45,night,rainy,True,True,False,False,0,0.33
rural,0.56,60,daylight,rainy,False,True,False,False,1,0.48
rural,0.65,35,night,rainy,True,False,True,False,1,0.43
rural,0.74,70,daylight,clear,False,False,False,False,1,0.62
highway,0.96,25,night,rainy,False,True,True,False,4,0.73
rural,0.45,70,daylight,,True,False,False,False,0,0.37
highway,0.52,70,night,foggy,False,False,True,True,2,0.82
urban,0.0,25,dim,clear,False,False,False,False,1,0.06
urban,0.82,35,daylight,rainy,False,True,False,False,2,0.39
urban,0.37,60,dim,clear,False,True,True,False,1,0.38
urban,0.1,60,daylight,foggy,False,False,True,False,0,0.37
highway,0.6,35,dim,clear,False,False,False,True,0,0.31
urban,0.58,70,night,clear,False,True,True,False,2,0.58
highway,0.79,60,night,rainy,True,False,True,True,4,0.79
highway,0.28,35,night,foggy,True,True,False,False,0,0.41
rural,0.85,25,daylight,rainy,True,False,False,False,2,0.3
highway,0.31,60,daylight,clear,True,True,True,False,1,0.35
urban,0.41,60,night,foggy,False,False,True,False,1,0.65
rural,0.0,25,night,rainy,True,False,True,True,4,0.2
rural,0.35,60,daylight,rainy,True,False,False,False,1,0.34
highway,0.56,45,night,rainy,True,True,True,False,0,0.49
rural,0.65,45,dim,rainy,False,True,False,False,0,0.32
urban,0.07,35,dim,foggy,True,False,False,False,0,0.06
rural,0.55,60,night,foggy,False,True,True,False,1,0.63
highway,0.29,70,night,clear,True,False,True,True,2,0.46
highway,0.39,70,dim,foggy,False,True,True,False,1,0.45
urban,0.87,25,night,clear,True,True,False,True,1,0.37
rural,0.07,25,dim,rainy,,True,False,False,1,0.09
rural,0.22,60,dim,clear,False,False,True,False,0,0.24
rural,0.18,35,daylight,clear,False,True,False,True,0,0.05
rural,0.29,45,daylight,clear,True,False,True,False,2,0.08
rural,0.97,70,dim,clear,True,False,True,False,2,0.49
highway,0.59,45,night,clear,False,False,False,False,3,0.44
urban,0.36,70,daylight,clear,False,False,False,True,2,0.37
urban,0.73,45,dim,rainy,True,True,True,True,1,0.36
urban,0.73,70,night,foggy,False,True,False,True,3,0.75
urban,0.55,45,daylight,clear,,True,True,True,0,0.13
urban,0.81,25,daylight,rainy,True,True,False,False,2,0.37
rural,0.78,60,night,clear,True,False,False,False,1,0.52
urban,0.9,25,night,rainy,True,False,True,False,3,0.72
highway,0.21,25,dim,foggy,False,False,True,True,0,0.23
highway,0.09,45,daylight,clear,False,True,False,False,1,0.05
urban,0.63,70,dim,clear,False,False,False,False,3,0.46
rural,0.6,60,dim,clear,False,False,False,True,1,0.39
urban,0.07,70,dim,foggy,True,True,False,False,1,0.22
highway,0.04,45,night,rainy,True,True,True,False,1,0.27
rural,0.25,60,dim,rainy,False,False,False,True,2,0.34
urban,0.17,70,dim,rainy,True,True,True,True,0,0.34
urban,0.69,45,night,foggy,True,True,True,True,1,0.52
rural,0.66,25,daylight,foggy,True,False,True,False,1,0.28
urban,0.72,60,dim,foggy,True,True,True,True,1,0.43
rural,0.14,60,daylight,clear,True,True,False,True,1,0.29
highway,0.17,45,dim,foggy,True,True,True,True,0,0.14
highway,0.4,45,night,rainy,False,False,False,True,1,0.37
urban,0.53,35,daylight,foggy,True,False,False,True,0,0.3
rural,0.87,60,dim,clear,False,True,False,True,0,0.5
rural,,25,night,clear,,True,False,False,1,0.32
highway,0.15,35,dim,rainy,False,False,False,False,1,0.04
urban,0.85,25,dim,foggy,True,True,True,True,1,0.42
rural,0.06,45,daylight,foggy,True,False,False,False,2,0.11
highway,0.46,25,daylight,foggy,True,True,True,True,1,0.27
urban,0.01,35,daylight,,True,True,True,False,1,0.02
highway,0.79,35,daylight,rainy,True,True,True,True,1,0.24
urban,0.43,45,dim,rainy,False,False,False,True,2,0.16
highway,0.04,60,daylight,foggy,True,True,False,True,1,0.27
urban,0.67,60,dim,foggy,True,True,False,True,3,0.66
urban,0.64,25,dim,foggy,True,False,True,False,3,0.39
highway,0.98,35,dim,clear,False,True,True,True,1,0.25
highway,0.86,35,night,clear,True,True,False,True,1,0.46
rural,0.24,45,night,foggy,False,True,False,False,1,0.39
rural,0.54,60,night,foggy,True,True,True,False,1,0.67
rural,0.24,70,daylight,,True,True,True,False,1,0.4
highway,0.82,70,daylight,foggy,False,True,True,True,3,0.56
rural,0.69,70,daylight,foggy,True,False,True,True,0,0.49
highway,,45,dim,clear,True,False,True,True,1,0.26
rural,0.51,70,daylight,rainy,False,True,True,False,1,0.49
urban,0.55,60,daylight,clear,True,False,False,True,2,0.35
urban,0.41,45,night,,False,True,False,True,1,0.46
highway,0.54,45,night,foggy,False,False,False,True,0,0.45
highway,0.07,45,daylight,foggy,False,False,True,False,1,0.12
urban,0.91,25,night,foggy,True,True,False,True,3,0.62
rural,0.44,45,night,clear,False,False,False,True,1,0.2
rural,0.43,45,daylight,foggy,False,True,True,True,1,0.14
rural,0.86,70,daylight,foggy,False,True,False,True,2,0.5
highway,0.24,25,dim,foggy,False,True,True,True,1,0.09
rural,0.14,70,night,clear,True,True,True,False,1,0.4
urban,0.02,45,dim,rainy,False,False,False,False,2,0.07
rural,0.82,25,daylight,clear,True,True,False,True,2,0.28
urban,0.11,35,night,foggy,True,True,True,True,2,0.45
urban,0.04,70,night,clear,False,False,True,False,0,0.4
rural,0.8,25,night,rainy,True,False,True,False,3,0.61
highway,0.61,60,night,rainy,False,True,True,True,4,0.74
rural,0.11,25,daylight,rainy,True,True,True,False,1,0.07
highway,0.63,60,dim,rainy,False,False,True,False,2,0.5
rural,0.55,60,dim,foggy,True,True,True,True,3,0.59
highway,0.55,60,daylight,foggy,False,True,True,False,2,0.43
highway,0.44,45,dim,rainy,True,False,False,True,0,0.2
urban,0.04,60,night,clear,False,True,True,True,0,0.43
urban,0.63,25,dim,foggy,False,True,True,True,1,0.39
urban,0.4,35,night,clear,False,True,True,True,1,0.26
urban,0.76,60,dim,rainy,True,True,False,True,2,0.48
urban,,35,night,foggy,True,True,False,False,2,0.44
highway,0.18,70,night,clear,True,True,False,True,1,0.46
rural,0.01,45,daylight,rainy,True,False,False,True,0,0.11
highway,0.08,60,daylight,rainy,False,True,True,True,1,0.31
urban,0.11,25,night,foggy,False,True,False,False,2,0.28
highway,0.12,70,daylight,foggy,True,False,False,True,1,0.34
highway,0.81,45,night,rainy,False,True,True,True,2,0.52
urban,0.01,35,dim,clear,False,False,False,False,0,0.02
highway,0.54,35,daylight,clear,True,False,True,True,1,0.14
highway,0.89,60,dim,foggy,False,False,True,False,0,0.55
rural,0.01,60,daylight,clear,True,False,True,True,1,0.24
urban,0.13,35,daylight,foggy,False,True,False,True,1,0.16
highway,0.82,25,daylight,foggy,False,False,False,True,0,0.31
highway,0.77,35,night,clear,True,True,True,True,0,0.43
urban,0.71,60,dim,foggy,False,True,True,True,2,0.53
highway,0.28,70,dim,foggy,True,True,True,True,0,0.37
rural,0.55,70,night,clear,True,True,False,False,1,0.57
rural,0.07,70,dim,clear,True,False,False,True,0,0.22
